id,city_id,followers,following,created_at,updated_at
346687,0,0,2,28-07-10,12-05-23
404506,0,6,8,17-09-10,24-04-23
510444,,0,1,05-12-10,27-03-21
584572,,5,5,26-01-11,06-06-23
705308,0,49,36,02-04-11,03-05-23
755840,0,16,21,28-04-11,22-04-23
858200,0,0,2,18-06-11,16-03-23
943711,0,0,0,28-07-11,07-04-15
1238258,0,0,1,03-12-11,20-12-19
1238272,0,0,0,03-12-11,07-04-15
1238275,0,0,0,03-12-11,07-04-15
1238281,0,0,0,03-12-11,08-06-22
1238296,0,0,0,03-12-11,07-04-15
1241552,,0,0,05-12-11,12-07-22
1401510,0,4,1,02-02-12,22-05-23
1554715,,9,5,19-03-12,29-05-23
1572774,,2,5,25-03-12,26-10-22
1692858,0,26,18,30-04-12,20-05-23
2085965,,0,0,02-08-12,07-04-15
2129497,8,3,20,10-08-12,13-06-23
2843256,,1,0,20-11-12,06-10-15
3097242,0,0,0,21-12-12,09-06-23
3441605,,0,0,31-01-13,23-03-22
3595515,0,0,2,14-02-13,13-12-22
3630303,0,0,0,18-02-13,15-06-21
3654686,,5,5,21-02-13,09-06-23
3806576,0,3,2,08-03-13,01-06-23
3826227,0,0,1,10-03-13,06-03-23
3955395,0,2,0,24-03-13,03-04-23
3973230,0,4,8,26-03-13,21-05-19
4129379,,0,0,11-04-13,27-02-16
4445541,0,0,0,16-05-13,19-12-19
4475142,0,31,25,20-05-13,14-06-23
4477245,0,0,5,20-05-13,23-11-22
4503513,0,2,0,22-05-13,02-06-21
4510183,0,0,0,23-05-13,27-02-16
4531215,,0,0,26-05-13,27-02-16
4592898,1,0,0,02-06-13,26-06-22
4643304,,15,10,07-06-13,04-06-23
4709879,0,5,1,16-06-13,14-10-21
4716778,0,0,0,17-06-13,07-06-23
4736850,0,1,0,19-06-13,27-02-16
4808798,,20,36,24-06-13,26-02-23
5019560,0,142,348,16-07-13,28-04-23
5039147,0,0,0,18-07-13,19-08-20
5045783,0,5,2,19-07-13,12-06-23
5047424,0,0,1,19-07-13,05-04-23
5120818,0,0,0,30-07-13,28-11-22
5333339,0,0,0,28-08-13,24-09-20
5718635,0,0,0,18-10-13,02-06-23
5908430,,0,7,11-11-13,24-11-22
5999078,,19,0,21-11-13,24-04-23
6130991,0,52,0,07-12-13,09-06-23
6144022,,4,6,09-12-13,19-05-23
6152014,0,0,1,10-12-13,23-05-23
6338572,0,0,0,07-01-14,19-05-23
6535422,,1,3,29-01-14,09-02-23
6548183,0,0,0,30-01-14,02-02-22
