user_id,location
510444.0,Mozambique
1241552.0,Mozambique
1554715.0,Mozambique
1572774.0,Mozambique
2085965.0,Mozambique
2580338.0,Mozambique
2843256.0,Mozambique
3441605.0,Mozambique
3654686.0,Mozambique
4129379.0,mozambique 
4531215.0,Chimoio-Mozambique
4643304.0,Mozambique
4808798.0,Mozambique
5908430.0,Mozambique
5999078.0,Mauritius | South Africa | Greece | Mozambique
6144022.0,Mozambique
6535422.0,Mozambique
6551654.0,Mozambique
6670085.0,Mozambique
6823987.0,Mozambique
6969148.0,"Beira, Moçambique"
6969163.0,Mozambique
7235738.0,Mozambique
7290190.0,Milange/Mozambique
7589719.0,"3742 ,Ronald Camp ,Westonbury ,Minnesota ,Mozambique"
7591781.0,Mozambique
7609797.0,Mozambique
7645536.0,Mozambique
7769689.0,Mozambique
8059168.0,Mozambique
8342748.0,Mozambique
8420618.0,Moçambique
8513088.0,Mozambique
8825214.0,"Maxixe, Mozambique"
8969075.0,Mozambique
8999513.0,Mozambique
10035726.0,Mozambique
10192081.0,Mozambique
10496524.0,"Mozambique, Zambezia, Quelimane"
10654641.0,Mozambique
10763752.0,Mozambique
10852278.0,Mozambique
10864249.0,Moçambique
10881554.0,Mozambique
10922795.0,"Japan, UAE, UK, RSA, MOZAMBIQUE, ZIMBABWE"
11079693.0,Mozambique
11230500.0,Mozambique
11401407.0,Moçambique
12243288.0,Mozambique
12348993.0,Mozambique
12411682.0,Mozambique
12594159.0,Mozambique
12596808.0,Mozambique
12608296.0,Mozambique
12674539.0,Mozambique
12964071.0,Mozambique
13021754.0,Mozambique
13223576.0,"Around the World (UK, Portugal, Algeria, Brasil, Mozambique)"
13356453.0,Mozambique
13402312.0,Mozambique
13905475.0,Mozambique
13984100.0,Mozambique
14042840.0,mozambique
14114666.0,Pemba Mozambique
14273351.0,Mozambique
15047907.0,Mozambique
15202121.0,Mozambique
15256665.0,"Beira, Mozambique"
15990102.0,Mozambique
16305023.0,Mozambique
16646217.0,Mozambique
17466635.0,Mozambique 
17637439.0,Mozambique
17989477.0,Mozambique
18726326.0,Mozambique
19157803.0,"Mozambique, Beira"
19210598.0,"Beira, Mozambique"
19254270.0,Mozambique
19366367.0,Moçambique
20244168.0,Mozambique
20360517.0,Mozambique
20488304.0,Mozambique
20669844.0,"Beira, Mozambique"
20702024.0,Mozambique
20720292.0,Mozambique
20819246.0,Mozambique
20905674.0,"Mozambique, Beira"
21008078.0,Mozambique
21030639.0,Mozambique
21193374.0,Mozambique
21215054.0,Mozambique
22010172.0,Moçambique
22028176.0,Moçambique
22327331.0,Mozambique
22546608.0,mozambique
22590615.0,Mozambique
22592370.0,Mozambique
22690816.0,Moçambique
22891380.0,Mozambique
22938962.0,Mozambique
23280298.0,Moçambique 
23471059.0,Mozambique
23504226.0,Mozambique
24277044.0,Mozambique
24415579.0,Mozambique
24649838.0,mozambique
24765887.0,Mozambique
24790605.0,Mozambique
24876371.0,Mozambique
25033468.0,Mozambique
25220784.0,Moçambique
25408008.0,Mozambique
25586893.0,Mozambique
25800161.0,Mozambique
25843851.0,Mozambique
25931668.0,"Pemba, Mozambique"
25931737.0,Mozambique
25981029.0,Mozambique
25992878.0,Mozambique
26020971.0,"Quelimane, Mozambique"
26362991.0,Mozambique
26558566.0,"chimoio,Mozambique"
26708649.0,Mozambique
26734195.0,Mozambique
26844915.0,Mozambique
27306140.0,Mozambique
27733133.0,"Beira, Moçambique"
28476353.0,Mozambique
28514526.0,Mozambique 
28622477.0,Mozambique
28735704.0,Mozambique
28783718.0,"Beira, Mozambique"
28985401.0,Mozambique
29462510.0,Mozambique
29806633.0,Mozambique
29987327.0,mozambique
30090160.0,"Beira, Moçambique"
30260890.0,Mozambique
30517177.0,Beira Mozambique
31217604.0,Mozambique
31242188.0,Mozambique
31407020.0,Mozambique
31408474.0,"Mozambique,Beira"
31533519.0,Moçambique
31686963.0,Mozambique
31694259.0,Mozambique
31982614.0,Mozambique
32933071.0,Mozambique
33057315.0,"Beira, Mozambique"
33597440.0,Mozambique 
33627064.0,Mozambique
33749746.0,"Beira, Mozambique"
33861085.0,Mozambique
33871687.0,"Mocambique, Chimoio"
33977992.0,Mozambique
33984632.0,Mozambique
34067013.0,Mozambique
34671981.0, Mozambique
34682825.0,Mozambique
34800399.0,Moçambique
35785555.0,Mozambique
35953505.0,Mozambique - Baira
36140262.0,Mozambique
36192225.0,Moçambique
36237054.0,Moçambique
36325257.0,Mozambique
36434948.0,Mozambique 
36619381.0,"Beira, Mozambique"
36689259.0,Mozambique
36806251.0,Moçambique
36881559.0,Mozambique
37243873.0,Moçambique
37329682.0,Mozambique
37686832.0,Mozambique
38094400.0,Mozambique
38291490.0,Mozambique
38292962.0,Mozambique
38478347.0,Beira Mozambique
38946066.0,Mozambique
39657623.0,Mozambique
39722342.0,Mozambique
39951469.0,Mozambique
39991868.0,Moçambique
40174805.0,Mozambique
40237204.0,Moçambique
40589687.0,Mozambique
40625547.0,Mozambique
40965041.0,Mozambique
41387799.0,Mozambique
41486295.0,Mozambique
41828713.0,Mozambique
41967397.0,Mozambique
42029482.0,Mozambique
42133050.0,South Africa/Mozambique
42249792.0,"Beira, Mozambique"
42283125.0,Mozambique
42285178.0,"Mozambique, Pemba"
42302155.0,"Mozambique, Zambezia, Mocuba"
42514329.0,Moçambique
42549629.0,Mozambique
42620788.0,Mozambique
43118662.0,Mozambique
43210563.0,Mozambique
43370602.0,Mozambique
43747467.0,"Beira,Mozambique"
43817914.0,mozambique
43821098.0,Mozambique
43958695.0,mozambique
