id,city_id,followers,following,created_at,updated_at
346687.0,0.0,1.0,2.0,2010-07-28,2024-10-28
404506.0,0.0,5.0,8.0,2010-09-17,2024-10-10
24765887.0,,8.0,0.0,2016-12-25,2024-10-13
24766978.0,0.0,4.0,6.0,2016-12-25,2024-09-16
24790605.0,,0.0,0.0,2016-12-27,2017-01-20
24827083.0,0.0,2.0,5.0,2016-12-29,2023-07-30
24876371.0,,0.0,0.0,2017-01-02,2017-01-11
24903262.0,0.0,0.0,0.0,2017-01-03,2024-01-24
24928542.0,0.0,5.0,5.0,2017-01-05,2024-05-21
24961647.0,0.0,7.0,3.0,2017-01-06,2024-09-24
25033468.0,,0.0,0.0,2017-01-10,2018-11-19
25073518.0,0.0,2.0,16.0,2017-01-12,2024-09-22
25107827.0,0.0,0.0,1.0,2017-01-13,2024-10-18
25184743.0,0.0,0.0,1.0,2017-01-17,2023-11-30
25220784.0,,0.0,8.0,2017-01-19,2021-12-01
25408008.0,,0.0,0.0,2017-01-28,2020-08-16
25586893.0,,0.0,0.0,2017-02-06,2024-09-18
25661908.0,0.0,4.0,9.0,2017-02-09,2024-08-23
25786689.0,0.0,6.0,0.0,2017-02-15,2017-02-15
25800161.0,,1.0,2.0,2017-02-15,2023-08-07
25843851.0,,2.0,7.0,2017-02-17,2024-10-21
25931668.0,,3.0,2.0,2017-02-21,2023-10-13
25931737.0,,0.0,0.0,2017-02-21,2021-08-31
25981029.0,,0.0,0.0,2017-02-23,2023-04-25
25992878.0,,0.0,0.0,2017-02-24,2017-08-17
26020971.0,,0.0,0.0,2017-02-25,2024-11-01
26120352.0,0.0,0.0,2.0,2017-03-01,2021-07-15
26214872.0,0.0,3.0,2.0,2017-03-06,2024-10-28
26296578.0,0.0,0.0,1.0,2017-03-09,2023-11-23
26362991.0,,2.0,8.0,2017-03-12,2024-10-29
26549683.0,0.0,0.0,0.0,2017-03-20,2023-01-12
26558566.0,,0.0,0.0,2017-03-21,2017-03-21
26708649.0,,6.0,21.0,2017-03-27,2024-10-17
26734195.0,,0.0,0.0,2017-03-28,2017-03-28
26787752.0,0.0,0.0,1.0,2017-03-30,2021-04-19
26844915.0,,54.0,120.0,2017-04-01,2024-10-28
26899994.0,0.0,3.0,0.0,2017-04-04,2024-08-24
26909784.0,0.0,0.0,1.0,2017-04-04,2019-05-18
27003946.0,0.0,1.0,1.0,2017-04-07,2017-04-07
27234174.0,0.0,0.0,0.0,2017-04-10,2023-10-24
27306140.0,,1.0,4.0,2017-04-11,2023-10-20
27340179.0,0.0,0.0,0.0,2017-04-12,2019-05-02
27642985.0,0.0,3.0,8.0,2017-04-16,2024-10-11
27668113.0,0.0,0.0,0.0,2017-04-17,2017-04-17
27702507.0,0.0,0.0,0.0,2017-04-17,2021-03-25
27731089.0,0.0,1.0,1.0,2017-04-18,2024-05-14
27733133.0,,3.0,14.0,2017-04-18,2024-07-18
27741772.0,0.0,0.0,0.0,2017-04-18,2024-10-12
27770901.0,0.0,2.0,1.0,2017-04-19,2024-10-16
27965287.0,4.0,6.0,9.0,2017-04-24,2024-10-07
28258862.0,0.0,11.0,15.0,2017-05-01,2024-10-18
28476353.0,,0.0,0.0,2017-05-06,2024-07-02
28514526.0,,3.0,4.0,2017-05-07,2024-10-27
28622477.0,,0.0,0.0,2017-05-11,2023-06-15
28630297.0,3.0,0.0,0.0,2017-05-11,2024-07-22
28735704.0,,5.0,0.0,2017-05-16,2024-10-12
28783718.0,,0.0,0.0,2017-05-18,2024-07-19
28859908.0,0.0,0.0,0.0,2017-05-22,2024-01-02
28985401.0,,5.0,55.0,2017-05-26,2024-09-19
29012453.0,0.0,1.0,1.0,2017-05-28,2022-03-20
29086237.0,0.0,0.0,1.0,2017-05-31,2024-10-09
29115076.0,0.0,0.0,0.0,2017-06-01,2024-10-10
29178934.0,0.0,0.0,2.0,2017-06-04,2024-07-24
29215043.0,0.0,10.0,0.0,2017-06-05,2021-10-20
29462510.0,,0.0,2.0,2017-06-15,2024-07-11
29792912.0,0.0,0.0,0.0,2017-06-30,2022-03-24
29806633.0,,0.0,0.0,2017-06-30,2024-10-22
29928699.0,0.0,0.0,1.0,2017-07-05,2022-12-26
29987327.0,,0.0,0.0,2017-07-07,2017-07-07
30027374.0,0.0,0.0,0.0,2017-07-09,2020-09-11
30077420.0,0.0,3.0,0.0,2017-07-11,2023-07-17
30090160.0,,0.0,1.0,2017-07-11,2023-10-09
30260890.0,,1.0,4.0,2017-07-18,2024-09-25
30470437.0,0.0,0.0,0.0,2017-07-26,2020-11-30
30502046.0,0.0,0.0,0.0,2017-07-27,2017-07-27
30517177.0,,0.0,1.0,2017-07-28,2023-10-21
30523874.0,0.0,2.0,2.0,2017-07-28,2024-09-26
30528631.0,6.0,0.0,1.0,2017-07-28,2023-06-28
30689866.0,0.0,5.0,3.0,2017-08-03,2024-09-18
31000619.0,0.0,8.0,1.0,2017-08-14,2024-07-06
31018799.0,0.0,0.0,0.0,2017-08-14,2018-04-08
31033591.0,0.0,14.0,34.0,2017-08-15,2024-10-19
31039500.0,0.0,0.0,2.0,2017-08-15,2023-06-06
31217604.0,,5.0,3.0,2017-08-21,2024-10-16
31235492.0,0.0,10.0,10.0,2017-08-22,2023-07-10
31236928.0,0.0,34.0,28.0,2017-08-22,2024-06-12
31237771.0,0.0,11.0,5.0,2017-08-22,2024-05-27
31238878.0,0.0,30.0,30.0,2017-08-22,2024-10-09
31242188.0,,24.0,30.0,2017-08-22,2024-11-03
31246918.0,0.0,30.0,58.0,2017-08-22,2024-10-25
31260297.0,0.0,19.0,48.0,2017-08-22,2024-10-23
31282507.0,6.0,1.0,6.0,2017-08-23,2022-11-12
31302838.0,0.0,0.0,0.0,2017-08-24,2017-08-24
31362149.0,0.0,27.0,4.0,2017-08-26,2020-05-19
31407020.0,,3.0,3.0,2017-08-28,2020-09-22
31408474.0,,35.0,79.0,2017-08-28,2024-10-30
31442449.0,0.0,10.0,9.0,2017-08-29,2019-10-17
31477051.0,9.0,3.0,12.0,2017-08-30,2020-07-15
31516502.0,0.0,0.0,1.0,2017-08-31,2023-07-03
31533519.0,,3.0,2.0,2017-09-01,2020-06-05
31686963.0,,1.0,1.0,2017-09-06,2022-10-28
31694259.0,,1.0,1.0,2017-09-06,2021-05-18
31759362.0,0.0,0.0,0.0,2017-09-08,2024-10-29
31899027.0,0.0,4.0,3.0,2017-09-12,2024-10-09
31945644.0,5.0,4.0,5.0,2017-09-14,2024-11-03
31945681.0,5.0,1.0,0.0,2017-09-14,2022-08-20
31982614.0,,0.0,1.0,2017-09-15,2024-08-27
32058262.0,0.0,6.0,4.0,2017-09-18,2024-06-11
32066945.0,0.0,14.0,36.0,2017-09-18,2024-09-30
32170223.0,0.0,0.0,0.0,2017-09-21,2021-06-03
32215152.0,0.0,3.0,0.0,2017-09-23,2023-09-18
32295997.0,0.0,0.0,0.0,2017-09-26,2024-07-13
32304877.0,10.0,1.0,0.0,2017-09-26,2021-02-08
32305442.0,0.0,2.0,0.0,2017-09-26,2022-07-12
32419747.0,0.0,0.0,1.0,2017-09-30,2021-06-15
32432355.0,10.0,0.0,0.0,2017-10-01,2023-09-28
32514855.0,0.0,13.0,15.0,2017-10-04,2024-07-03
32597978.0,0.0,0.0,0.0,2017-10-07,2024-11-01
32665277.0,0.0,0.0,3.0,2017-10-10,2021-05-07
32742390.0,0.0,2.0,1.0,2017-10-12,2024-10-31
32770980.0,0.0,0.0,0.0,2017-10-13,2024-07-17
32927860.0,0.0,0.0,0.0,2017-10-19,2023-08-29
32933071.0,,0.0,0.0,2017-10-19,2017-10-19
32957616.0,0.0,0.0,0.0,2017-10-20,2022-05-29
33057315.0,,0.0,0.0,2017-10-24,2024-09-16
33373038.0,0.0,2.0,3.0,2017-11-04,2023-06-17
33562041.0,0.0,6.0,0.0,2017-11-11,2023-09-29
33597440.0,,1.0,2.0,2017-11-12,2024-03-13
33627064.0,,1.0,2.0,2017-11-13,2023-09-05
33693074.0,0.0,5.0,3.0,2017-11-15,2023-02-01
33702490.0,0.0,48.0,47.0,2017-11-15,2024-09-16
33719430.0,0.0,0.0,1.0,2017-11-16,2023-01-26
33749746.0,,0.0,0.0,2017-11-17,2017-11-17
33831855.0,0.0,24.0,19.0,2017-11-20,2024-07-19
33861085.0,,40.0,20.0,2017-11-21,2024-10-14
33871687.0,,1.0,0.0,2017-11-21,2024-02-06
