id,city_id,followers,following,created_at,updated_at
11079693,,7,7,2015-02-19,2024-04-01
11230500,,1,2,2015-02-27,2024-03-25
11247633,0,85,50,2015-02-28,2024-02-29
11255406,0,3,2,2015-03-01,2020-10-01
11262620,0,2,2,2015-03-02,2022-07-12
11368305,6,7,2,2015-03-07,2024-04-04
11401407,,0,0,2015-03-10,2016-02-28
11492577,0,0,0,2015-03-15,2020-10-07
11584640,0,4,9,2015-03-21,2024-04-03
11768427,0,0,1,2015-04-02,2023-12-23
11927641,0,3,2,2015-04-13,2023-12-27
11987675,0,33,25,2015-04-17,2024-03-02
12021468,0,66,84,2015-04-19,2024-03-24
12033296,0,12,11,2015-04-20,2024-04-03
12100397,0,22,27,2015-04-24,2024-03-11
12243288,,2,3,2015-05-04,2021-07-09
12348993,,1,0,2015-05-08,2016-02-28
12411682,,34,0,2015-05-12,2023-08-07
12594159,,0,0,2015-05-25,2024-03-24
12596808,,9,51,2015-05-25,2024-02-13
12608296,,1,0,2015-05-26,2020-06-20
12674539,,0,1,2015-05-30,2019-06-28
12690964,5,0,0,2015-06-01,2016-02-28
12692919,0,0,0,2015-06-01,2024-02-28
12703662,0,0,0,2015-06-01,2023-12-12
12964071,,11,29,2015-06-19,2024-04-02
13015969,0,1,0,2015-06-23,2024-03-05
13021754,,4,9,2015-06-23,2023-11-22
13223576,,1,0,2015-07-07,2020-05-28
13261750,0,0,3,2015-07-09,2024-01-23
13303659,0,0,9,2015-07-12,2022-05-27
13356453,,0,0,2015-07-15,2015-07-20
13402312,,0,5,2015-07-19,2024-02-07
13482373,0,106,99,2015-07-24,2024-04-03
13621066,0,23,45,2015-08-03,2024-04-03
13643179,8,2,8,2015-08-04,2024-03-03
13769987,5,13,3,2015-08-12,2024-04-05
13784462,0,0,0,2015-08-13,2024-02-22
13836260,0,6,5,2015-08-17,2023-11-20
13968552,8,0,0,2015-08-25,2024-03-23
13984100,,58,104,2015-08-26,2024-04-03
14042840,,0,0,2015-08-30,2021-05-15
14114666,,5,4,2015-09-03,2024-04-03
14216355,0,0,0,2015-09-10,2016-02-28
14273351,,0,0,2015-09-14,2024-02-11
14326204,0,3,6,2015-09-17,2024-02-15
14326647,0,0,0,2015-09-17,2023-06-15
14886079,0,0,0,2015-09-29,2024-03-29
14886229,0,0,0,2015-09-29,2020-11-11
14894533,0,0,0,2015-09-29,2016-12-09
14907689,0,2,34,2015-09-30,2016-02-28
14910228,0,4,2,2015-09-30,2021-10-13
14937813,0,0,0,2015-10-02,2021-12-26
15047907,,4,38,2015-10-09,2022-03-14
15089428,0,0,0,2015-10-12,2016-02-28
15192264,0,4,4,2015-10-19,2023-10-15
15202121,,0,1,2015-10-19,2024-04-05
15213215,0,3,6,2015-10-20,2023-02-22
15256665,,7,8,2015-10-23,2023-12-05
15413104,0,3,1,2015-10-30,2023-08-26
15954190,0,0,1,2015-11-21,2023-10-06
15990102,,0,0,2015-11-23,2016-02-28
16305023,,25,21,2015-12-15,2024-04-03
16611541,0,8,6,2016-01-08,2024-03-26
16646217,,1,0,2016-01-11,2018-07-20
16683201,6,0,0,2016-01-13,2016-11-05
17021181,2,0,0,2016-02-02,2022-03-25
17209308,0,0,0,2016-02-12,2016-09-19
17267747,0,6,7,2016-02-16,2023-02-16
17293418,0,0,0,2016-02-17,2022-07-07
17307013,0,2,2,2016-02-18,2024-03-27
17466635,,0,0,2016-02-25,2022-06-21
17637439,,3,31,2016-03-04,2024-03-21
17989477,,7,33,2016-03-21,2023-11-13
18084264,0,0,0,2016-03-26,2023-03-25
18194047,0,11,7,2016-03-31,2023-08-28
18216969,0,1,12,2016-04-01,2023-10-05
18285082,0,21,121,2016-04-05,2024-03-15
18400142,0,269,47,2016-04-11,2024-02-13
18407118,0,0,0,2016-04-11,2020-03-28
18415360,0,10,24,2016-04-12,2024-02-21
18603314,0,13,83,2016-04-21,2024-03-20
18709463,0,2,5,2016-04-27,2024-04-03
18726326,,0,0,2016-04-28,2020-09-10
19157803,,0,0,2016-05-02,2016-05-02
19210598,,0,1,2016-05-05,2022-09-19
19254270,,19,35,2016-05-08,2023-12-25
19359776,0,46,49,2016-05-14,2023-10-06
19366367,,0,0,2016-05-14,2023-10-11
19436752,0,1,0,2016-05-18,2024-02-28
19644754,0,2,16,2016-05-30,2024-01-25
19708061,0,1,2,2016-06-02,2022-06-22
19786159,0,0,2,2016-06-06,2023-12-07
19816874,0,0,6,2016-06-08,2024-04-02
19908522,0,0,0,2016-06-13,2016-06-13
20014859,0,0,4,2016-06-18,2021-12-22
20244168,,4,1,2016-07-01,2024-03-01
20360517,,0,0,2016-07-08,2023-09-14
20440015,0,0,0,2016-07-13,2023-11-15
20453914,6,0,0,2016-07-14,2016-07-14
20488304,,10,14,2016-07-16,2024-04-03
20513587,0,17,10,2016-07-18,2024-03-11
20571696,0,10,15,2016-07-21,2023-10-24
20599605,0,2,10,2016-07-22,2024-03-29
20662186,0,25,26,2016-07-26,2023-07-06
20669844,,0,0,2016-07-26,2016-07-28
20702024,,8,30,2016-07-28,2023-09-19
20710519,0,3,4,2016-07-28,2024-03-25
20720292,,2,0,2016-07-29,2024-03-04
20819246,,2,4,2016-08-03,2023-12-01
20823137,0,0,0,2016-08-03,2022-01-09
20905674,,8,4,2016-08-08,2024-04-03
21008078,,1,1,2016-08-13,2024-03-02
21030639,,0,0,2016-08-15,2021-02-01
21140773,0,0,0,2016-08-20,2016-08-20
21173591,0,0,0,2016-08-22,2016-08-31
21173667,0,0,0,2016-08-22,2022-07-31
21173712,0,1,2,2016-08-22,2024-04-03
21173725,0,0,0,2016-08-22,2024-04-01
21192973,0,3,17,2016-08-23,2024-01-18
21193374,,2,0,2016-08-23,2024-04-03
21215054,,0,0,2016-08-24,2016-08-24
21338448,0,0,0,2016-08-30,2016-08-30
21342696,0,4,21,2016-08-30,2024-02-02
22010172,,2,3,2016-09-05,2023-08-11
22028176,,0,1,2016-09-06,2023-11-27
22245869,5,26,33,2016-09-16,2024-03-18
22305507,0,0,0,2016-09-19,2021-04-26
22320756,0,1,0,2016-09-20,2017-08-21
22327331,,0,2,2016-09-20,2024-01-10
22341964,0,13,39,2016-09-21,2024-01-16
22344536,0,0,0,2016-09-21,2020-10-04
22374063,0,11,8,2016-09-22,2024-03-27
22524099,0,0,8,2016-09-29,2024-03-24
22546608,,0,0,2016-09-30,2016-09-30
22590615,,0,0,2016-10-03,2021-12-02
22592370,,3,1,2016-10-03,2024-03-19
22597065,0,4,4,2016-10-03,2024-01-22
22640209,0,2,0,2016-10-05,2024-03-20
22657992,0,11,13,2016-10-06,2024-03-30
22690816,,0,0,2016-10-07,2023-09-19
22708869,0,0,0,2016-10-08,2016-10-12
22891380,,0,1,2016-10-17,2020-03-09
22938962,,2,7,2016-10-19,2023-09-28
23185608,0,37,52,2016-11-01,2024-04-03
23280298,,0,0,2016-11-05,2022-02-07
23450230,0,0,0,2016-11-14,2017-07-02
23471059,,0,0,2016-11-15,2022-11-13
23504226,,0,0,2016-11-16,2016-11-16
23555833,0,21,35,2016-11-18,2024-02-10
23740775,0,71,44,2016-11-25,2024-02-03
23740856,0,32,26,2016-11-25,2023-10-07
24277044,,1,8,2016-11-30,2023-04-29
24382601,0,1,2,2016-12-05,2024-03-15
24395031,0,3,11,2016-12-05,2024-04-05
24415579,,4,10,2016-12-06,2024-02-28
24649838,,0,0,2016-12-19,2022-09-14
24765887,,8,0,2016-12-25,2024-04-03
24766978,0,0,2,2016-12-25,2024-04-02
24790605,,0,0,2016-12-27,2017-01-20
24827083,0,1,6,2016-12-29,2023-07-30
24876371,,0,0,2017-01-02,2017-01-11
24903262,0,0,0,2017-01-03,2024-01-24
24928542,0,6,5,2017-01-05,2024-03-06
24961647,0,6,3,2017-01-06,2024-03-26
25033468,,0,0,2017-01-10,2018-11-19
25073518,0,3,16,2017-01-12,2024-02-23
25107827,0,0,1,2017-01-13,2022-06-24
25184743,0,0,1,2017-01-17,2023-11-30
25220784,,0,8,2017-01-19,2021-12-01
25408008,,0,0,2017-01-28,2020-08-16
25586893,,0,0,2017-02-06,2024-02-22
25661908,0,2,5,2017-02-09,2024-01-16
25786689,0,2,0,2017-02-15,2017-02-15
25800161,,1,2,2017-02-15,2023-08-07
25843851,,1,7,2017-02-17,2024-04-03
25931668,,3,2,2017-02-21,2023-10-13
25931737,,0,0,2017-02-21,2021-08-31
25981029,,0,0,2017-02-23,2023-04-25
25992878,,0,0,2017-02-24,2017-08-17
26020971,,0,0,2017-02-25,2024-04-03
26120352,0,0,2,2017-03-01,2021-07-15
26214872,0,2,2,2017-03-06,2024-02-29
26296578,0,0,1,2017-03-09,2023-11-23
26549683,0,0,0,2017-03-20,2023-01-12
26558566,,0,0,2017-03-21,2017-03-21
26708649,,5,17,2017-03-27,2024-04-03
26734195,,0,0,2017-03-28,2017-03-28
26787752,0,0,1,2017-03-30,2021-04-19
26844915,,50,117,2017-04-01,2024-04-03
26909784,0,0,1,2017-04-04,2019-05-18
27003946,0,1,1,2017-04-07,2017-04-07
27234174,0,0,0,2017-04-10,2023-10-24
27306140,,1,4,2017-04-11,2023-10-20
27340179,0,0,0,2017-04-12,2019-05-02
27642985,0,3,8,2017-04-16,2023-06-20
27668113,0,0,0,2017-04-17,2017-04-17
27702507,0,0,0,2017-04-17,2021-03-25
27731089,0,1,1,2017-04-18,2024-02-21
27733133,,3,14,2017-04-18,2024-04-05
27741772,0,0,0,2017-04-18,2023-10-25
27770901,0,2,1,2017-04-19,2021-06-10
27965287,4,5,9,2017-04-24,2024-02-13
28258862,0,10,15,2017-05-01,2024-02-01
28476353,,0,0,2017-05-06,2024-02-07
28514526,,1,1,2017-05-07,2023-11-07
28622477,,0,0,2017-05-11,2023-06-15
28630297,3,0,0,2017-05-11,2023-03-23
28735704,,5,0,2017-05-16,2024-03-12
28783718,,0,0,2017-05-18,2024-03-30
28859908,0,0,0,2017-05-22,2024-01-02
28985401,,7,54,2017-05-26,2024-04-03
29012453,0,1,1,2017-05-28,2022-03-20
29086237,0,0,0,2017-05-31,2023-01-08
29115076,0,0,0,2017-06-01,2024-02-13
29178934,0,0,2,2017-06-04,2024-04-04
29215043,0,7,0,2017-06-05,2021-10-20
29462510,,0,1,2017-06-15,2024-03-07
29792912,0,0,0,2017-06-30,2022-03-24
29806633,,0,0,2017-06-30,2024-03-27
29928699,0,0,1,2017-07-05,2022-12-26
29987327,,0,0,2017-07-07,2017-07-07
30027374,0,0,0,2017-07-09,2020-09-11
30077420,0,1,0,2017-07-11,2023-07-17
30090160,,0,1,2017-07-11,2023-10-09
30260890,,1,4,2017-07-18,2024-02-23
30470437,0,0,0,2017-07-26,2020-11-30
30502046,0,0,0,2017-07-27,2017-07-27
30517177,,0,1,2017-07-28,2023-10-21
30523874,0,2,2,2017-07-28,2024-02-12
30528631,6,0,1,2017-07-28,2023-06-28
30689866,0,5,3,2017-08-03,2024-04-04
31000619,0,7,1,2017-08-14,2024-03-17
31018799,0,0,0,2017-08-14,2018-04-08
31039500,0,0,2,2017-08-15,2023-06-06
31217604,,4,2,2017-08-21,2024-04-03
31235492,0,10,10,2017-08-22,2023-07-10
31236928,0,31,28,2017-08-22,2024-03-19
31237771,0,11,5,2017-08-22,2023-10-20
31238878,0,29,30,2017-08-22,2024-03-05
31242188,,23,28,2017-08-22,2024-02-19
31246918,0,28,57,2017-08-22,2024-03-31
