id,owner_id,language,created_at,updated_at,stargazers_count,forks_count
16508967,705308,JavaScript,04-02-14,04-02-14,0,0
25481465,705308,,20-10-14,20-10-14,0,0
535297150,705308,,11-09-22,10-09-22,0,0
283311216,705308,PHP,28-07-20,07-06-21,4,2
214125833,705308,,10-10-19,10-10-19,0,0
18007868,705308,JavaScript,22-03-14,22-03-14,0,0
116005173,705308,HTML,02-01-18,02-01-18,0,0
299888568,705308,,30-09-20,30-09-20,0,0
18920348,705308,,18-04-14,18-04-14,0,0
26959421,705308,PHP,21-11-14,21-11-14,0,0
377500070,705308,,16-06-21,16-06-21,0,0
69713858,705308,C++,01-10-16,27-10-16,0,0
17739499,705308,JavaScript,14-03-14,14-03-14,0,0
21543325,705308,,06-07-14,03-07-14,0,0
5148297,705308,JavaScript,23-07-12,11-01-13,1,0
214035754,705308,,09-10-19,09-10-19,0,0
493547155,705308,,18-05-22,02-05-22,0,0
272088155,705308,,13-06-20,13-06-20,0,0
165086396,705308,PHP,10-01-19,10-01-19,0,0
153249995,705308,JavaScript,16-10-18,28-10-18,0,0
288468869,705308,Dockerfile,18-08-20,26-01-22,1,0
283211838,705308,PHP,28-07-20,28-07-20,0,0
126646310,705308,PHP,24-03-18,05-05-23,41,22
62691843,705308,,06-07-16,04-07-16,0,1
107769929,705308,PHP,21-10-17,21-10-17,0,0
102844108,705308,PHP,08-09-17,08-09-17,0,0
224860736,705308,Dockerfile,29-11-19,26-01-21,1,0
55476797,705308,JavaScript,05-04-16,05-04-16,0,0
62382753,705308,PHP,01-07-16,01-07-16,0,0
460192882,705308,,16-02-22,16-02-22,0,0
2410369,705308,JavaScript,18-09-11,31-12-19,1,0
463541633,705308,,25-02-22,21-01-22,0,0
30801701,705308,JavaScript,14-02-15,14-02-15,0,0
44662197,705308,PHP,21-10-15,21-10-15,0,0
463354238,705308,,25-02-22,25-02-22,0,0
52636145,705308,C++,26-02-16,26-02-16,0,0
106116962,705308,JavaScript,07-10-17,07-10-17,0,0
46669118,705308,PHP,22-11-15,09-03-16,0,0
30463733,705308,JavaScript,07-02-15,07-02-15,0,0
40477336,705308,PHP,10-08-15,10-08-15,0,0
40604102,705308,PHP,12-08-15,12-08-15,0,0
40604085,705308,PHP,12-08-15,12-08-15,0,0
33441115,705308,PHP,05-04-15,05-04-15,0,0
12967247,705308,Python,20-09-13,16-12-20,0,0
628531332,755840,,16-04-23,16-04-23,0,0
628387992,755840,PHP,15-04-23,15-04-23,0,0
233905790,755840,PHP,14-01-20,08-10-22,11,8
123629558,755840,PHP,02-03-18,02-03-18,0,0
550644293,755840,PHP,13-10-22,24-10-22,0,0
250230751,755840,,26-03-20,26-03-20,0,0
59563860,858200,,24-05-16,24-05-16,0,0
59563807,858200,,24-05-16,24-05-16,0,0
2474345,943711,Ruby,28-09-11,23-04-14,1,0
2385323,943711,,14-09-11,07-10-13,1,0
2117216,943711,Ruby,28-07-11,03-01-13,1,0
2488579,943711,Ruby,30-09-11,01-04-14,1,0
9622529,1238258,,23-04-13,24-03-14,0,0
11529496,1238258,Ruby,19-07-13,03-01-14,0,0
9619727,1238258,Ruby,23-04-13,23-04-13,0,0
11498118,1238258,,18-07-13,10-10-13,0,0
17018628,1238281,JavaScript,20-02-14,20-02-14,0,0
15966787,1238281,PHP,16-01-14,23-06-15,1,0
15968342,1238281,PHP,16-01-14,10-05-14,0,0
16001540,1238281,PHP,17-01-14,17-01-14,0,0
13676907,1238281,PHP,18-10-13,18-10-13,0,0
13438511,1238281,CSS,09-10-13,09-10-13,0,0
452157444,1238281,HTML,26-01-22,26-01-22,0,0
13617231,1238281,,16-10-13,16-10-13,0,0
14109706,1238281,PHP,04-11-13,04-11-13,0,0
14139856,1238281,PHP,05-11-13,05-11-13,0,0
34689704,1401510,Java,27-04-15,27-04-15,0,0
112447067,1554715,JavaScript,29-11-17,29-11-17,0,0
381781250,1554715,,30-06-21,30-06-21,0,0
47285134,1554715,Ruby,02-12-15,02-12-15,0,0
67038646,1554715,Java,31-08-16,31-08-16,0,0
66647699,1554715,Java,26-08-16,26-08-16,0,2
4745849,1554715,JavaScript,22-06-12,30-10-13,1,0
351452595,1554715,Jupyter Notebook,25-03-21,05-10-22,0,0
94073295,1554715,JavaScript,12-06-17,02-08-18,0,0
98389489,1554715,JavaScript,26-07-17,09-08-17,0,0
133935385,1554715,Shell,18-05-18,18-05-18,0,0
108107046,1554715,JavaScript,24-10-17,24-10-17,0,0
110673754,1554715,Shell,14-11-17,16-04-18,0,0
293054781,1554715,,05-09-20,05-09-20,0,0
74823520,1554715,Java,26-11-16,26-11-16,0,0
531926486,1554715,,02-09-22,14-07-22,0,0
283837777,1554715,,30-07-20,30-07-20,0,0
110946760,1554715,Java,16-11-17,30-04-18,0,0
114371117,1554715,Java,15-12-17,15-12-17,0,0
114387711,1554715,Java,15-12-17,15-12-17,0,0
107661498,1554715,Java,20-10-17,04-06-18,0,0
155347665,1554715,Java,30-10-18,12-11-18,0,0
77904150,1554715,Java,03-01-17,02-02-17,1,0
44806457,1554715,Ruby,23-10-15,23-10-15,0,0
11095053,1554715,Haskell,01-07-13,08-09-17,0,0
293473594,1554715,Python,07-09-20,13-02-21,0,0
11267815,1572774,JavaScript,08-07-13,17-08-13,0,0
48226540,1572774,C,18-12-15,18-12-15,0,0
481841799,1572774,,15-04-22,13-04-22,0,0
17452143,1572774,Java,05-03-14,05-03-14,1,1
557697933,1572774,,26-10-22,26-10-22,0,0
77847080,1572774,JavaScript,02-01-17,02-01-17,0,0
11267538,1572774,,08-07-13,28-01-23,0,0
31136246,1572774,PHP,21-02-15,21-02-15,0,0
29983646,1572774,PHP,28-01-15,28-01-15,0,0
294628477,1572774,,11-09-20,11-09-20,0,0
77606152,1572774,JavaScript,29-12-16,29-12-16,0,0
67488118,1572774,Python,06-09-16,06-09-16,0,0
290278606,1572774,JavaScript,25-08-20,03-09-20,0,0
32417399,1572774,,17-03-15,17-03-15,0,0
557913038,1572774,,26-10-22,13-10-22,0,0
557929083,1572774,,26-10-22,09-10-22,0,0
30929632,1572774,C,17-02-15,17-02-15,0,0
11267352,1572774,,08-07-13,13-05-14,0,0
40074520,1572774,Python,02-08-15,02-08-15,0,0
11251836,1572774,PHP,08-07-13,08-07-13,0,0
34140406,1572774,C#,17-04-15,16-05-16,0,0
557881908,1572774,,26-10-22,26-10-22,0,0
11267762,1572774,,08-07-13,08-07-13,0,0
29980871,1572774,C,28-01-15,28-01-15,0,0
15956959,1572774,Python,16-01-14,16-01-14,0,0
292347256,1572774,JavaScript,02-09-20,02-09-20,0,0
41097581,1572774,JavaScript,20-08-15,20-08-15,0,0
288579291,1572774,JavaScript,18-08-20,20-08-20,0,0
15997291,1572774,Python,17-01-14,17-01-14,0,0
81918908,1692858,PHP,14-02-17,14-02-17,0,0
62062428,1692858,PHP,27-06-16,27-06-16,0,0
329518120,1692858,,14-01-21,11-01-22,0,0
302307520,1692858,PHP,08-10-20,08-10-20,0,1
71664914,1692858,PHP,22-10-16,14-10-22,42,27
349797742,1692858,PHP,20-03-21,09-06-22,0,0
301167971,1692858,,04-10-20,04-10-20,0,0
200287037,1692858,PHP,02-08-19,02-08-19,0,0
209465040,1692858,PHP,19-09-19,19-05-21,0,0
293738889,1692858,PHP,08-09-20,08-09-20,0,0
285226670,1692858,PHP,05-08-20,09-09-20,0,0
611617040,1692858,PHP,09-03-23,09-03-23,0,0
201397949,1692858,PHP,09-08-19,25-02-21,0,0
206582046,1692858,PHP,05-09-19,06-10-20,0,0
468115739,1692858,,09-03-22,26-02-22,0,0
340973257,1692858,,21-02-21,21-02-21,0,0
551101482,1692858,,13-10-22,06-10-22,0,0
601837593,1692858,Kotlin,14-02-23,14-02-23,0,0
380503213,1692858,PHP,26-06-21,26-06-21,0,0
339990654,1692858,PHP,18-02-21,01-07-21,0,0
237366006,1692858,PHP,31-01-20,31-01-20,0,0
602492860,1692858,JavaScript,16-02-23,13-04-23,0,0
136604274,2129497,Shell,08-06-18,08-06-18,0,0
477539984,2129497,,04-04-22,31-03-22,0,0
477540450,2129497,,04-04-22,29-03-22,0,0
11740600,2843256,Ruby,29-07-13,06-12-13,0,0
11529038,2843256,Ruby,19-07-13,05-02-14,0,0
11768063,2843256,Ruby,30-07-13,21-04-14,0,0
651535725,3097242,,09-06-23,09-06-23,0,0
651563488,3097242,,09-06-23,09-06-23,0,0
358710637,3441605,Python,16-04-21,16-04-21,0,0
43923524,3595515,JavaScript,09-10-15,16-10-15,0,0
36396332,3595515,JavaScript,27-05-15,27-05-15,0,0
22698917,3595515,Ruby,06-08-14,29-05-15,0,0
22211202,3595515,JavaScript,24-07-14,24-07-14,0,0
19075424,3595515,HTML,23-04-14,22-04-16,0,0
20898675,3595515,JavaScript,16-06-14,28-11-14,0,0
596015121,3595515,CSS,01-02-23,04-02-23,0,0
21981687,3595515,,18-07-14,18-07-14,0,0
20221819,3595515,Java,27-05-14,25-06-14,0,1
59014051,3630303,,17-05-16,17-05-16,0,0
33262689,3630303,Java,01-04-15,01-04-15,0,0
218019711,3654686,Java,28-10-19,31-10-19,0,0
217044475,3654686,JavaScript,23-10-19,23-10-19,0,0
57134292,3654686,PHP,26-04-16,26-04-16,0,0
285758154,3654686,,07-08-20,07-08-20,0,0
310914764,3654686,HTML,07-11-20,07-11-20,1,0
35300733,3654686,,08-05-15,08-05-15,0,0
278603327,3654686,,10-07-20,15-07-20,0,0
97860897,3654686,HTML,20-07-17,12-02-19,0,0
297155712,3654686,PHP,20-09-20,11-12-21,1,0
288808583,3654686,HTML,19-08-20,19-08-20,0,1
208794110,3654686,,16-09-19,16-09-19,0,1
215803145,3654686,,17-10-19,17-10-19,0,0
16079541,3654686,,20-01-14,20-01-14,0,0
485323666,3654686,JavaScript,25-04-22,25-04-22,0,0
146426492,3654686,TypeScript,28-08-18,28-08-18,0,0
217345687,3654686,JavaScript,24-10-19,25-10-19,0,0
280362791,3654686,Vue,17-07-20,17-07-20,0,0
291123076,3654686,JavaScript,28-08-20,21-09-20,1,0
405457402,3654686,PHP,11-09-21,11-09-21,0,0
517669802,3806576,HTML,25-07-22,09-01-23,0,0
171484275,3806576,Java,19-02-19,09-01-23,0,0
56163984,3806576,JavaScript,13-04-16,13-04-16,0,0
101029019,3806576,Java,22-08-17,22-08-17,0,0
49977176,3806576,CSS,19-01-16,19-01-16,0,0
436138978,3806576,TypeScript,08-12-21,06-01-22,0,0
391816061,3806576,TypeScript,02-08-21,12-01-22,0,0
587166481,3806576,Dart,10-01-23,10-01-23,0,0
516244380,3806576,Go,21-07-22,21-07-22,0,0
528473855,3806576,Java,24-08-22,01-10-22,1,0
527817779,3806576,Go,23-08-22,23-08-22,0,0
45460007,3806576,JavaScript,03-11-15,03-11-15,0,0
60090571,3806576,PHP,31-05-16,31-05-16,0,0
20268653,3826227,,28-05-14,28-05-14,0,0
195569752,3826227,,06-07-19,06-07-19,0,0
195640675,3826227,,07-07-19,07-07-19,0,0
484153683,3826227,,21-04-22,24-04-22,1,0
22064379,3826227,,21-07-14,21-07-14,0,0
160716984,3826227,JavaScript,06-12-18,14-12-18,0,0
73356262,3826227,HTML,10-11-16,15-11-16,0,0
21692769,3826227,,10-07-14,17-01-18,0,0
492524038,3826227,,15-05-22,15-05-22,0,0
261752780,3826227,,06-05-20,06-05-20,0,0
195553660,3826227,,06-07-19,06-07-19,0,0
249974988,3955395,JavaScript,25-03-20,10-06-20,0,0
96310428,3955395,,05-07-17,05-07-17,0,0
96312615,3955395,,05-07-17,05-07-17,0,0
98336609,3955395,R,25-07-17,25-07-17,0,0
98064783,3955395,R,23-07-17,23-07-17,0,0
100769035,3955395,JavaScript,19-08-17,19-08-17,0,0
105876961,3955395,JavaScript,05-10-17,05-10-17,0,0
8985146,3955395,Ruby,24-03-13,11-01-17,1,0
42890403,3955395,PHP,21-09-15,11-01-17,1,0
539433532,3955395,,21-09-22,23-08-22,0,0
99887628,3955395,HTML,10-08-17,11-08-17,0,0
96635366,3955395,R,08-07-17,08-07-17,0,0
41587481,3955395,PHP,29-08-15,11-01-17,1,0
287863635,3955395,JavaScript,16-08-20,09-09-20,0,0
98805083,3955395,HTML,30-07-17,30-07-17,0,0
120277040,3955395,,05-02-18,21-02-17,0,0
67874532,3955395,JavaScript,10-09-16,11-01-17,1,0
78689822,3955395,HTML,11-01-17,24-03-17,1,0
118442162,3955395,Perl,22-01-18,22-01-18,0,0
98174570,3955395,HTML,24-07-17,24-07-17,0,0
219473674,3955395,,04-11-19,04-11-19,0,0
13115797,3973230,Ruby,26-09-13,16-04-14,0,0
12944432,3973230,Ruby,19-09-13,07-10-13,0,0
11528169,3973230,Ruby,19-07-13,06-07-14,0,0
11763821,3973230,CSS,30-07-13,15-11-13,0,1
12106082,3973230,Ruby,14-08-13,18-04-14,0,0
187786133,3973230,Java,21-05-19,21-05-19,0,0
188033877,3973230,Java,22-05-19,22-05-19,0,0
32416821,3973230,Java,17-03-15,17-03-15,0,0
288373006,4475142,,18-08-20,18-08-20,0,0
628674521,4475142,,16-04-23,14-04-23,0,0
628675048,4475142,,16-04-23,16-04-23,0,0
110363022,4475142,HTML,11-11-17,08-02-18,0,0
75090130,4475142,JavaScript,29-11-16,29-11-16,0,0
98348010,4475142,JavaScript,25-07-17,25-07-17,0,0
76830075,4475142,CSS,19-12-16,19-12-16,0,0
103030538,4475142,,10-09-17,10-09-17,0,0
99030656,4475142,JavaScript,01-08-17,08-08-17,1,0
73800699,4475142,HTML,15-11-16,15-11-16,0,0
80028801,4475142,JavaScript,25-01-17,25-01-17,0,0
213485795,4475142,,07-10-19,07-10-19,0,0
97088267,4475142,PHP,13-07-17,13-07-17,0,0
86903978,4475142,,01-04-17,31-03-17,0,0
20922847,4475142,,17-06-14,17-06-14,0,0
370489899,4475142,,24-05-21,24-05-21,0,0
105465468,4475142,Java,01-10-17,01-10-17,0,0
220654455,4475142,,09-11-19,09-11-19,0,0
117570314,4475142,C,15-01-18,15-01-18,0,0
